Seconds,R_Time,Lat,Long,Animal_ID,Sex,Step_m,Interval_s,Speed_kmh,Heading,State_Num
4867200,2025-02-16 18:00:00,37.12974,-122.04955,164M,M,1830.7,14400,0.4577,0.47107,2
4881600,2025-02-16 22:00:00,37.15595,-122.0328,164M,M,3270.8,14400,0.8177,1.16846,3
4924800,2025-02-17 10:00:00,37.16676,-122.00091,164M,M,3071.0,43200,0.2559,4.07885,2
4939200,2025-02-17 14:00:00,37.16323,-122.00694,164M,M,663.0,14400,0.1658,3.28736,2
4953600,2025-02-17 18:00:00,37.16095,-122.00736,164M,M,256.2,14400,0.0641,2.64657,2
4968000,2025-02-17 22:00:00,37.14425,-121.99605,164M,M,2110.2,14400,0.5276,2.92642,3
4982400,2025-02-18 02:00:00,37.13597,-121.99378,164M,M,942.4,14400,0.2356,3.22091,2
5011200,2025-02-18 10:00:00,37.10406,-121.99696,164M,M,3559.4,28800,0.4449,3.9577,2
5025600,2025-02-18 14:00:00,37.10403,-121.997,164M,M,4.9,14400,0.0012,1.96668,1
5040000,2025-02-18 18:00:00,37.10402,-121.99697,164M,M,2.9,14400,0.0007,4.57224,1
5112000,2025-02-19 14:00:00,37.0961,-122.06717,164M,M,6287.8,72000,0.3144,5.46702,2
5126400,2025-02-19 18:00:00,37.09616,-122.06725,164M,M,9.7,14400,0.0024,5.08605,1
5140800,2025-02-19 22:00:00,37.09949,-122.0779,164M,M,1014.5,14400,0.2536,5.8403,2
5155200,2025-02-20 02:00:00,37.12294,-122.09185,164M,M,2886.1,14400,0.7215,5.16436,3
5169600,2025-02-20 06:00:00,37.1233,-122.09278,164M,M,91.7,14400,0.0229,0.30628,1
5184000,2025-02-20 10:00:00,37.13593,-122.08777,164M,M,1473.0,14400,0.3682,0.68138,2
5198400,2025-02-20 14:00:00,37.1417,-122.0819,164M,M,826.1,14400,0.2065,5.98908,2
5227200,2025-02-20 22:00:00,37.15946,-122.08865,164M,M,2063.4,28800,0.2579,4.74395,2
5241600,2025-02-21 02:00:00,37.15985,-122.10419,164M,M,1377.8,14400,0.3444,2.30464,2
5256000,2025-02-21 06:00:00,37.15962,-122.10387,164M,M,38.2,14400,0.0095,5.7178,1
5270400,2025-02-21 10:00:00,37.17312,-122.11462,164M,M,1777.9,14400,0.4445,1.21071,2
5284800,2025-02-21 14:00:00,37.17315,-122.11452,164M,M,9.5,14400,0.0024,3.55399,1
5299200,2025-02-21 18:00:00,37.1706,-122.11592,164M,M,309.5,14400,0.0774,3.09732,2
5328000,2025-02-22 02:00:00,37.15189,-122.11488,164M,M,2082.5,28800,0.2603,3.37804,2
5356800,2025-02-22 10:00:00,37.13998,-122.11848,164M,M,1362.2,28800,0.1703,5.69682,2
5371200,2025-02-22 14:00:00,37.14004,-122.11853,164M,M,8.0,14400,0.002,4.27269,1
5385600,2025-02-22 18:00:00,37.14001,-122.11861,164M,M,7.8,14400,0.002,3.65938,1
5400000,2025-02-22 22:00:00,37.13304,-122.12359,164M,M,891.9,14400,0.223,3.96044,2
5414400,2025-02-23 02:00:00,37.12917,-122.12878,164M,M,630.0,14400,0.1575,3.14902,2
5443200,2025-02-23 10:00:00,37.112,-122.12894,164M,M,1909.3,28800,0.2387,2.19875,2
5457600,2025-02-23 14:00:00,37.11189,-122.12875,164M,M,20.8,14400,0.0052,2.65855,1
5500800,2025-02-24 02:00:00,37.04803,-122.08679,164M,M,8017.4,43200,0.6681,2.816,3
5529600,2025-02-24 10:00:00,37.02502,-122.07706,164M,M,2700.4,28800,0.3376,1.80147,2
5544000,2025-02-24 14:00:00,37.02499,-122.0769,164M,M,14.6,14400,0.0036,2.09914,1
5572800,2025-02-24 22:00:00,37.00841,-122.04134,164M,M,3656.1,28800,0.457,0.41416,2
5601600,2025-02-25 06:00:00,37.0318,-122.02846,164M,M,2841.1,28800,0.3551,3.98248,2
5616000,2025-02-25 10:00:00,37.03175,-122.02853,164M,M,8.3,14400,0.0021,4.01661,1
5630400,2025-02-25 14:00:00,37.03173,-122.02856,164M,M,3.5,14400,0.0009,0.32965,1
5644800,2025-02-25 18:00:00,37.0318,-122.02853,164M,M,8.2,14400,0.0021,0.42079,1
5659200,2025-02-25 22:00:00,37.03312,-122.02779,164M,M,160.8,14400,0.0402,0.31779,1
5673600,2025-02-26 02:00:00,37.05202,-122.02,164M,M,2212.4,14400,0.5531,0.15627,3
5688000,2025-02-26 06:00:00,37.07982,-122.01451,164M,M,3129.4,14400,0.7823,6.17269,3
5702400,2025-02-26 10:00:00,37.08435,-122.01514,164M,M,506.8,14400,0.1267,3.40149,2
5716800,2025-02-26 14:00:00,37.08432,-122.01515,164M,M,3.5,14400,0.0009,6.02328,1
5731200,2025-02-26 18:00:00,37.08435,-122.01516,164M,M,3.5,14400,0.0009,0.61399,1
5745600,2025-02-26 22:00:00,37.09536,-122.00543,164M,M,1497.9,14400,0.3745,0.66847,2
5774400,2025-02-27 06:00:00,37.11863,-121.98238,164M,M,3297.5,28800,0.4122,3.41786,2
5788800,2025-02-27 10:00:00,37.11818,-121.98254,164M,M,52.0,14400,0.013,1.46667,1
5803200,2025-02-27 14:00:00,37.11819,-121.98242,164M,M,10.7,14400,0.0027,0.07236,1
5817600,2025-02-27 18:00:00,37.1183,-121.98241,164M,M,12.3,14400,0.0031,5.03479,1
